Frequency (Hz)	Level (dB)
0.976562	-95.104553
1.953125	-95.018135
2.929688	-94.678528
3.906250	-94.651558
4.882812	-93.858055
5.859375	-92.397438
6.835938	-91.781815
7.812500	-92.888405
8.789062	-92.467453
9.765625	-91.405029
10.742188	-89.167908
11.718750	-87.993210
12.695312	-85.822433
13.671875	-87.126137
14.648438	-87.742386
15.625000	-85.608513
16.601562	-84.636185
17.578125	-87.222862
18.554688	-83.649948
19.531250	-85.272217
20.507812	-85.622429
21.484375	-83.837326
22.460938	-83.413422
23.437500	-83.562996
24.414062	-85.324814
25.390625	-84.310295
26.367188	-84.217522
27.343750	-82.311485
28.320312	-81.390678
29.296875	-82.243492
30.273438	-84.939255
31.250000	-84.183914
32.226562	-83.829643
33.203125	-86.462181
34.179688	-84.637962
35.156250	-83.839851
36.132812	-85.582191
37.109375	-84.872292
38.085938	-84.949036
39.062500	-82.853729
40.039062	-84.742813
41.015625	-84.019478
41.992188	-82.647644
42.968750	-83.414963
43.945312	-86.281105
44.921875	-81.199112
45.898438	-83.081383
46.875000	-83.408058
47.851562	-83.135719
48.828125	-83.721123
49.804688	-84.924438
50.781250	-82.706688
51.757812	-81.341637
52.734375	-81.145874
53.710938	-80.433037
54.687500	-80.964149
55.664062	-80.837334
56.640625	-80.238335
57.617188	-81.014931
58.593750	-79.424141
59.570312	-79.033340
60.546875	-79.901772
61.523438	-78.773834
62.500000	-78.030411
63.476562	-81.058472
64.453125	-81.935547
65.429688	-82.855911
66.406250	-83.448898
67.382812	-82.886269
68.359375	-83.480797
69.335938	-82.017586
70.312500	-82.212433
71.289062	-82.046097
72.265625	-82.753189
73.242188	-83.314430
74.218750	-80.839867
75.195312	-81.362617
76.171875	-82.145805
77.148438	-82.941689
78.125000	-81.699120
79.101562	-83.626640
80.078125	-81.766075
81.054688	-83.653633
82.031250	-82.824234
83.007812	-82.053345
83.984375	-82.305733
84.960938	-82.152573
85.937500	-81.604134
86.914062	-82.491875
87.890625	-83.077888
88.867188	-81.273232
89.843750	-82.101257
90.820312	-81.654930
91.796875	-83.394897
92.773438	-83.703491
93.750000	-82.325691
94.726562	-82.843964
95.703125	-82.863838
96.679688	-82.841713
97.656250	-83.081902
98.632812	-81.880569
99.609375	-84.017410
100.585938	-82.283760
101.562500	-82.763863
102.539062	-80.367012
103.515625	-82.033981
104.492188	-82.514175
105.468750	-82.936012
106.445312	-81.985245
107.421875	-81.782608
108.398438	-80.923637
109.375000	-80.162132
110.351562	-80.841393
111.328125	-81.529045
112.304688	-81.501732
113.281250	-79.572372
114.257812	-79.073509
115.234375	-80.269905
116.210938	-80.721367
117.187500	-80.621971
118.164062	-79.326485
119.140625	-78.719551
120.117188	-67.583038
121.093750	-73.460686
122.070312	-80.802376
123.046875	-81.683281
124.023438	-81.585396
125.000000	-80.868576
125.976562	-81.637802
126.953125	-81.458374
127.929688	-82.826126
128.906250	-80.494362
129.882812	-80.744637
130.859375	-82.052910
131.835938	-81.732658
132.812500	-81.493927
133.789062	-80.876770
134.765625	-81.909004
135.742188	-79.873459
136.718750	-81.822479
137.695312	-81.579857
138.671875	-79.494286
139.648438	-80.244331
140.625000	-79.133499
141.601562	-80.604698
142.578125	-80.384689
143.554688	-79.493279
144.531250	-80.258919
145.507812	-81.034187
146.484375	-80.023506
147.460938	-82.360245
148.437500	-81.045998
149.414062	-79.606361
150.390625	-79.763596
151.367188	-81.022995
152.343750	-79.341141
153.320312	-80.252457
154.296875	-80.687912
155.273438	-78.790802
156.250000	-78.239700
157.226562	-79.723106
158.203125	-78.159782
159.179688	-79.299660
160.156250	-78.662453
161.132812	-83.002075
162.109375	-78.584785
163.085938	-79.401115
164.062500	-79.569405
165.039062	-78.764336
166.015625	-79.844933
166.992188	-77.507462
167.968750	-79.738716
168.945312	-81.579384
169.921875	-79.312225
170.898438	-78.214294
171.875000	-81.442436
172.851562	-81.051857
173.828125	-80.270485
174.804688	-79.246300
175.781250	-78.439857
176.757812	-78.987747
177.734375	-78.358429
178.710938	-77.822968
179.687500	-78.026047
180.664062	-77.866829
181.640625	-79.196327
182.617188	-79.722290
183.593750	-79.050797
184.570312	-79.881500
185.546875	-78.235283
186.523438	-79.010483
187.500000	-78.685623
188.476562	-78.232895
189.453125	-78.265160
190.429688	-79.446686
191.406250	-77.832550
192.382812	-77.420601
193.359375	-78.157219
194.335938	-76.692307
195.312500	-74.825821
196.289062	-78.862022
197.265625	-77.463303
198.242188	-77.022247
199.218750	-77.110596
200.195312	-77.192719
201.171875	-75.606956
202.148438	-75.217178
203.125000	-76.795883
204.101562	-77.222946
205.078125	-75.663345
206.054688	-75.766884
207.031250	-74.625244
208.007812	-75.522583
208.984375	-76.182365
209.960938	-75.967049
210.937500	-74.976303
211.914062	-73.817131
212.890625	-74.309540
213.867188	-73.015320
214.843750	-74.600525
215.820312	-73.771965
216.796875	-72.877861
217.773438	-72.599091
218.750000	-75.274460
219.726562	-74.321999
220.703125	-73.026093
221.679688	-72.479973
222.656250	-74.634674
223.632812	-73.619972
224.609375	-73.551819
225.585938	-73.967926
226.562500	-73.759499
227.539062	-73.128700
228.515625	-72.940758
229.492188	-72.026154
230.468750	-72.768463
231.445312	-71.699417
232.421875	-72.878845
233.398438	-70.859093
234.375000	-70.389565
235.351562	-72.130981
236.328125	-72.251106
237.304688	-71.355919
238.281250	-71.769203
239.257812	-69.117462
240.234375	-69.259239
241.210938	-65.240799
242.187500	-65.541466
243.164062	-70.069519
244.140625	-69.196609
245.117188	-67.869057
246.093750	-67.493576
247.070312	-69.385750
248.046875	-70.744743
249.023438	-66.356850
250.000000	-66.512192
250.976562	-67.242683
251.953125	-66.723885
252.929688	-65.750420
253.906250	-64.698616
254.882812	-63.309547
255.859375	-64.260330
256.835938	-66.033691
257.812500	-64.168961
258.789062	-65.664375
259.765625	-65.355484
260.742188	-66.352417
261.718750	-64.580513
262.695312	-63.954823
263.671875	-64.619576
264.648438	-64.075943
265.625000	-62.755173
266.601562	-64.369888
267.578125	-63.347225
268.554688	-62.476765
269.531250	-65.335037
270.507812	-64.385925
271.484375	-66.201965
272.460938	-65.160248
273.437500	-65.636581
274.414062	-66.267204
275.390625	-65.400024
276.367188	-65.759789
277.343750	-66.423836
278.320312	-66.242783
279.296875	-67.079224
280.273438	-67.895393
281.250000	-67.698669
282.226562	-66.009827
283.203125	-66.092239
284.179688	-68.052750
285.156250	-67.570877
286.132812	-68.803551
287.109375	-68.274269
288.085938	-67.140968
289.062500	-67.938499
290.039062	-69.662018
291.015625	-70.701294
291.992188	-68.994568
292.968750	-68.144188
293.945312	-69.648476
294.921875	-70.402641
295.898438	-69.774368
296.875000	-70.188805
297.851562	-73.275162
298.828125	-71.556274
299.804688	-71.908348
300.781250	-72.435776
301.757812	-73.689407
302.734375	-71.087700
303.710938	-72.292847
304.687500	-71.672501
305.664062	-71.470657
306.640625	-71.424194
307.617188	-72.679581
308.593750	-73.390915
309.570312	-71.353874
310.546875	-72.962639
311.523438	-74.041885
312.500000	-71.944656
313.476562	-71.950661
314.453125	-72.839455
315.429688	-72.327690
316.406250	-75.151970
317.382812	-74.319466
318.359375	-73.287628
319.335938	-75.910538
320.312500	-75.477959
321.289062	-76.044647
322.265625	-73.775490
323.242188	-75.448647
324.218750	-74.680283
325.195312	-75.379288
326.171875	-74.991165
327.148438	-74.345932
328.125000	-74.893486
329.101562	-74.013451
330.078125	-74.514816
331.054688	-75.614403
332.031250	-74.698395
333.007812	-74.357605
333.984375	-74.230080
334.960938	-75.654625
335.937500	-75.751785
336.914062	-76.490616
337.890625	-76.321571
338.867188	-75.600372
339.843750	-77.099152
340.820312	-75.203239
341.796875	-76.681580
342.773438	-76.163933
343.750000	-74.927231
344.726562	-77.358879
345.703125	-76.681801
346.679688	-75.898605
347.656250	-77.282623
348.632812	-76.685928
349.609375	-76.433815
350.585938	-77.815460
351.562500	-73.877060
352.539062	-75.382278
353.515625	-76.470215
354.492188	-75.296364
355.468750	-75.253326
356.445312	-76.089874
357.421875	-75.703094
358.398438	-77.795311
359.375000	-76.189034
360.351562	-76.996017
361.328125	-77.452515
362.304688	-76.465446
363.281250	-77.162552
364.257812	-77.647018
