Frequency (Hz)	Level (dB)
0.976562	-92.936584
1.953125	-92.774178
2.929688	-92.882782
3.906250	-91.823090
4.882812	-93.181038
5.859375	-92.852974
6.835938	-90.809570
7.812500	-91.993790
8.789062	-92.068565
9.765625	-90.736069
10.742188	-87.159630
11.718750	-87.681168
12.695312	-86.243607
13.671875	-87.249550
14.648438	-89.181236
15.625000	-86.727737
16.601562	-85.632812
17.578125	-85.211433
18.554688	-84.950371
19.531250	-86.900658
20.507812	-86.879463
21.484375	-83.653473
22.460938	-82.738708
23.437500	-81.294319
24.414062	-83.151901
25.390625	-83.875946
26.367188	-82.217461
27.343750	-84.108696
28.320312	-82.983833
29.296875	-82.996727
30.273438	-82.025597
31.250000	-84.189934
32.226562	-83.277710
33.203125	-82.973976
34.179688	-83.854553
35.156250	-83.092293
36.132812	-84.311028
37.109375	-83.821159
38.085938	-84.110291
39.062500	-84.957314
40.039062	-84.772476
41.015625	-83.464417
41.992188	-83.190338
42.968750	-83.509857
43.945312	-83.922195
44.921875	-83.855354
45.898438	-82.398384
46.875000	-81.781433
47.851562	-81.563408
48.828125	-83.640175
49.804688	-81.657204
50.781250	-82.101364
51.757812	-80.455994
52.734375	-80.881920
53.710938	-81.774323
54.687500	-80.186867
55.664062	-78.868698
56.640625	-79.444756
57.617188	-77.024612
58.593750	-78.372566
59.570312	-80.065308
60.546875	-79.025459
61.523438	-78.375237
62.500000	-78.819618
63.476562	-80.744400
64.453125	-82.701500
65.429688	-81.990929
66.406250	-82.230042
67.382812	-82.267250
68.359375	-81.616295
69.335938	-80.118713
70.312500	-81.750717
71.289062	-82.095123
72.265625	-81.054222
73.242188	-81.577538
74.218750	-80.864143
75.195312	-80.863205
76.171875	-80.934814
77.148438	-82.459938
78.125000	-80.388184
79.101562	-83.505829
80.078125	-82.760696
81.054688	-82.792679
82.031250	-84.328651
83.007812	-81.075798
83.984375	-82.048561
84.960938	-80.506966
85.937500	-81.051773
86.914062	-81.080307
87.890625	-81.186066
88.867188	-81.190384
89.843750	-80.029472
90.820312	-81.482483
91.796875	-81.909744
92.773438	-82.396141
93.750000	-80.381004
94.726562	-82.118263
95.703125	-82.233635
96.679688	-81.815491
97.656250	-80.488289
98.632812	-81.198776
99.609375	-83.094788
100.585938	-81.565147
101.562500	-80.911537
102.539062	-77.966858
103.515625	-80.668571
104.492188	-81.910187
105.468750	-81.028519
106.445312	-81.327698
107.421875	-82.304062
108.398438	-80.506866
109.375000	-79.486023
110.351562	-79.863556
111.328125	-79.526093
112.304688	-79.863777
113.281250	-80.147484
114.257812	-76.920853
115.234375	-78.445656
116.210938	-78.253647
117.187500	-78.164696
118.164062	-76.667603
119.140625	-76.384712
120.117188	-63.748631
121.093750	-70.100052
122.070312	-76.609726
123.046875	-78.280136
124.023438	-79.203117
125.000000	-77.765144
125.976562	-79.719254
126.953125	-78.852394
127.929688	-80.376945
128.906250	-77.892838
129.882812	-78.699562
130.859375	-79.468590
131.835938	-79.304543
132.812500	-78.530357
133.789062	-78.909134
134.765625	-79.618958
135.742188	-77.546326
136.718750	-79.037895
137.695312	-79.333252
138.671875	-79.407028
139.648438	-77.870407
140.625000	-77.335075
141.601562	-77.375259
142.578125	-77.955452
143.554688	-76.908447
144.531250	-77.472374
145.507812	-78.447983
146.484375	-77.942223
147.460938	-79.218399
148.437500	-77.221733
149.414062	-75.341805
150.390625	-75.827194
151.367188	-77.331856
152.343750	-75.387962
153.320312	-76.817062
154.296875	-76.855186
155.273438	-74.988289
156.250000	-74.242722
157.226562	-76.763565
158.203125	-74.970566
159.179688	-76.429871
160.156250	-76.508690
161.132812	-79.012184
162.109375	-74.849747
163.085938	-75.450073
164.062500	-75.213013
165.039062	-75.366676
166.015625	-75.308121
166.992188	-74.043480
167.968750	-75.157127
168.945312	-76.842041
169.921875	-74.862656
170.898438	-74.372963
171.875000	-77.075508
172.851562	-76.529999
173.828125	-75.905426
174.804688	-75.545624
175.781250	-73.498810
176.757812	-73.425720
177.734375	-73.690132
178.710938	-72.769165
179.687500	-71.980446
180.664062	-72.758461
181.640625	-73.529419
182.617188	-74.199745
183.593750	-73.252548
184.570312	-72.940010
185.546875	-71.878693
186.523438	-73.449394
187.500000	-72.751083
188.476562	-72.181992
189.453125	-71.280174
190.429688	-72.660522
191.406250	-71.161270
192.382812	-70.028824
193.359375	-71.106140
194.335938	-69.684128
195.312500	-67.783646
196.289062	-72.649277
197.265625	-70.056053
198.242188	-69.968048
199.218750	-68.861229
200.195312	-68.583282
201.171875	-67.110031
202.148438	-67.616646
203.125000	-68.223419
204.101562	-68.437035
205.078125	-67.317230
206.054688	-66.958366
207.031250	-65.670341
208.007812	-66.233223
208.984375	-65.933205
209.960938	-66.411308
