Frequency (Hz)	Level (dB)
0.976562	-97.221756
1.953125	-96.864716
2.929688	-96.975052
3.906250	-95.342690
4.882812	-96.467445
5.859375	-95.461502
6.835938	-92.643623
7.812500	-93.870506
8.789062	-94.307434
9.765625	-92.386681
10.742188	-89.002678
11.718750	-90.454193
12.695312	-90.381821
13.671875	-88.924171
14.648438	-88.285248
15.625000	-87.007034
16.601562	-88.444252
17.578125	-88.693489
18.554688	-85.128700
19.531250	-87.857666
20.507812	-88.852623
21.484375	-85.159470
22.460938	-85.067093
23.437500	-84.115067
24.414062	-85.958183
25.390625	-83.456261
26.367188	-86.730507
27.343750	-84.889702
28.320312	-84.056068
29.296875	-83.630013
30.273438	-84.780792
31.250000	-86.134865
32.226562	-85.933365
33.203125	-85.491753
34.179688	-84.970558
35.156250	-84.270164
36.132812	-85.790833
37.109375	-85.020836
38.085938	-83.799774
39.062500	-83.987976
40.039062	-84.783470
41.015625	-83.256760
41.992188	-84.557167
42.968750	-85.020271
43.945312	-85.429176
44.921875	-84.299004
45.898438	-84.926003
46.875000	-85.437302
47.851562	-83.646851
48.828125	-85.444847
49.804688	-85.507980
50.781250	-82.705849
51.757812	-81.322411
52.734375	-81.325691
53.710938	-82.307068
54.687500	-81.820625
55.664062	-79.674995
56.640625	-80.128494
57.617188	-82.650375
58.593750	-80.887970
59.570312	-80.730011
60.546875	-78.559631
61.523438	-79.258430
62.500000	-78.693619
63.476562	-78.790665
64.453125	-82.899864
65.429688	-84.628296
66.406250	-83.062889
67.382812	-83.551598
68.359375	-84.437042
69.335938	-82.757301
70.312500	-81.819565
71.289062	-82.071754
72.265625	-82.787109
73.242188	-83.335892
74.218750	-82.580719
75.195312	-80.477364
76.171875	-82.215981
77.148438	-84.938705
78.125000	-81.691673
79.101562	-84.380989
80.078125	-83.814827
81.054688	-85.487701
82.031250	-86.038139
83.007812	-83.774078
83.984375	-83.392693
84.960938	-82.750893
85.937500	-84.838989
86.914062	-81.302887
87.890625	-83.034134
88.867188	-85.267723
89.843750	-84.562988
90.820312	-82.973694
91.796875	-82.629852
92.773438	-84.221954
93.750000	-83.544167
94.726562	-85.079063
95.703125	-85.606819
96.679688	-84.727768
97.656250	-84.258949
98.632812	-85.632912
99.609375	-84.856148
100.585938	-84.774803
101.562500	-84.034363
102.539062	-83.091881
103.515625	-82.685677
104.492188	-81.653709
105.468750	-82.962189
106.445312	-84.620537
107.421875	-83.914963
108.398438	-83.173843
109.375000	-82.655174
110.351562	-82.672142
111.328125	-84.234108
112.304688	-84.307823
113.281250	-83.349640
114.257812	-82.512589
115.234375	-82.973373
116.210938	-83.428642
117.187500	-83.245361
118.164062	-81.705276
119.140625	-80.197952
120.117188	-69.903763
121.093750	-76.963478
122.070312	-82.719330
123.046875	-82.349358
124.023438	-82.136429
125.000000	-83.615395
125.976562	-84.661964
126.953125	-82.828461
127.929688	-84.212151
128.906250	-81.981575
129.882812	-83.165085
130.859375	-84.243980
131.835938	-84.359863
132.812500	-82.996437
133.789062	-83.197098
134.765625	-83.205482
135.742188	-82.478706
136.718750	-83.114517
137.695312	-84.015511
138.671875	-82.490402
139.648438	-83.643486
140.625000	-81.777725
141.601562	-83.831223
142.578125	-83.473541
143.554688	-82.487411
144.531250	-81.898003
145.507812	-82.701378
146.484375	-83.735176
147.460938	-83.919853
148.437500	-82.820786
149.414062	-81.032578
150.390625	-81.423996
151.367188	-82.540123
152.343750	-81.896873
153.320312	-82.898941
154.296875	-82.344841
155.273438	-80.679222
156.250000	-80.471420
157.226562	-84.451431
158.203125	-80.644722
159.179688	-82.052208
160.156250	-80.992264
161.132812	-83.406075
162.109375	-80.188560
163.085938	-81.183449
164.062500	-80.824707
165.039062	-81.432602
166.015625	-81.865868
166.992188	-79.736351
167.968750	-82.126595
168.945312	-84.144157
169.921875	-82.185387
170.898438	-80.885025
171.875000	-83.360283
172.851562	-83.180908
173.828125	-84.549118
174.804688	-83.415985
175.781250	-80.042725
176.757812	-81.376198
177.734375	-81.547134
178.710938	-80.648361
179.687500	-81.365669
180.664062	-79.828423
181.640625	-81.333847
182.617188	-83.025436
183.593750	-81.481842
184.570312	-82.124687
185.546875	-81.028328
186.523438	-81.954742
187.500000	-81.757339
188.476562	-80.648399
189.453125	-80.381012
190.429688	-82.070511
191.406250	-81.196945
192.382812	-80.847641
193.359375	-81.713020
194.335938	-79.676331
195.312500	-78.705406
196.289062	-81.081688
197.265625	-80.584923
198.242188	-80.391121
199.218750	-80.217674
200.195312	-80.101585
201.171875	-79.137863
202.148438	-79.215828
203.125000	-80.083412
204.101562	-81.098503
205.078125	-79.412666
206.054688	-78.910866
207.031250	-78.056602
208.007812	-80.071991
208.984375	-78.661980
209.960938	-79.773781
210.937500	-79.015495
211.914062	-77.233879
212.890625	-78.191444
213.867188	-76.315941
214.843750	-78.434227
215.820312	-78.128197
216.796875	-76.900558
217.773438	-77.101372
218.750000	-79.140770
219.726562	-78.879646
220.703125	-76.795975
221.679688	-78.499542
222.656250	-79.135002
223.632812	-78.045250
224.609375	-78.010445
225.585938	-78.725670
226.562500	-78.902802
227.539062	-78.593262
228.515625	-78.153793
229.492188	-77.496788
230.468750	-77.196724
231.445312	-77.124916
232.421875	-78.220917
233.398438	-76.325577
234.375000	-75.671593
235.351562	-77.238152
236.328125	-77.057701
237.304688	-77.090302
238.281250	-78.200966
239.257812	-75.321457
240.234375	-75.031242
241.210938	-71.197975
242.187500	-71.994743
243.164062	-74.986931
