Frequency (Hz)	Level (dB)
0.976562	-91.555428
1.953125	-91.423927
2.929688	-91.397850
3.906250	-91.006363
4.882812	-91.408180
5.859375	-90.511055
6.835938	-90.847641
7.812500	-90.191643
8.789062	-88.740997
9.765625	-87.673141
10.742188	-85.369736
11.718750	-83.245049
12.695312	-82.784401
13.671875	-81.020729
14.648438	-80.210762
15.625000	-80.705734
16.601562	-81.858086
17.578125	-82.053619
18.554688	-82.035851
19.531250	-82.803223
20.507812	-86.761505
21.484375	-84.634163
22.460938	-85.471619
23.437500	-84.930618
24.414062	-86.690125
25.390625	-85.620911
26.367188	-86.753983
27.343750	-84.277786
28.320312	-85.576485
29.296875	-86.769684
30.273438	-85.132912
31.250000	-85.256882
32.226562	-86.733597
33.203125	-85.332527
34.179688	-86.262970
35.156250	-85.085289
36.132812	-83.875420
37.109375	-82.735115
38.085938	-83.054230
39.062500	-84.396591
40.039062	-81.483917
41.015625	-82.800758
41.992188	-82.275047
42.968750	-83.394470
43.945312	-85.923126
44.921875	-86.067474
45.898438	-86.296165
46.875000	-85.755394
47.851562	-86.698265
48.828125	-86.006050
49.804688	-85.170082
50.781250	-84.491165
51.757812	-86.289299
52.734375	-84.309494
53.710938	-84.037796
54.687500	-83.790482
55.664062	-84.201668
56.640625	-83.036171
57.617188	-81.922394
58.593750	-80.706482
59.570312	-76.291176
60.546875	-79.978134
61.523438	-83.081566
62.500000	-81.677208
63.476562	-80.831802
64.453125	-84.749046
65.429688	-84.489067
66.406250	-85.146675
67.382812	-86.329308
68.359375	-86.062164
69.335938	-85.527496
70.312500	-83.040100
71.289062	-83.407578
72.265625	-83.647369
73.242188	-84.154869
74.218750	-82.660683
75.195312	-82.736259
76.171875	-83.887878
77.148438	-84.126068
78.125000	-83.925697
79.101562	-85.820770
80.078125	-86.906181
81.054688	-84.029655
82.031250	-83.719315
83.007812	-82.201630
83.984375	-80.636414
84.960938	-79.816299
85.937500	-80.030472
86.914062	-81.603844
87.890625	-81.328117
88.867188	-84.618790
89.843750	-82.902893
90.820312	-81.901337
91.796875	-80.298431
92.773438	-80.319824
93.750000	-78.543854
94.726562	-82.717552
95.703125	-83.768585
96.679688	-82.494598
97.656250	-84.046066
98.632812	-81.821922
99.609375	-82.303413
100.585938	-81.563644
101.562500	-79.926216
102.539062	-79.028770
103.515625	-77.750259
104.492188	-77.625565
105.468750	-79.788002
106.445312	-79.383591
107.421875	-80.573120
108.398438	-79.188858
109.375000	-78.540504
110.351562	-77.984810
111.328125	-76.906151
112.304688	-76.163475
113.281250	-73.186928
114.257812	-70.354752
115.234375	-71.886223
116.210938	-71.380180
117.187500	-71.193390
118.164062	-64.717186
119.140625	-65.407341
120.117188	-56.069603
121.093750	-57.771732
122.070312	-68.840118
123.046875	-72.995453
124.023438	-73.123718
125.000000	-71.984512
125.976562	-74.762321
126.953125	-73.426399
127.929688	-74.131874
128.906250	-71.755966
129.882812	-71.584343
130.859375	-72.805565
131.835938	-70.662590
132.812500	-70.764549
133.789062	-69.828400
134.765625	-69.026611
135.742188	-71.581062
136.718750	-69.413551
137.695312	-69.713020
138.671875	-69.805649
139.648438	-70.554741
140.625000	-70.294189
141.601562	-70.399384
142.578125	-69.039536
143.554688	-68.405838
144.531250	-69.736458
145.507812	-70.184616
146.484375	-70.897758
147.460938	-72.921074
148.437500	-72.809364
149.414062	-71.419479
150.390625	-71.948280
151.367188	-72.561790
152.343750	-72.105705
153.320312	-74.124786
154.296875	-74.503067
155.273438	-72.246506
156.250000	-72.742653
157.226562	-73.080536
158.203125	-69.399124
159.179688	-70.879265
160.156250	-71.657249
161.132812	-75.617355
162.109375	-73.979012
163.085938	-76.265625
164.062500	-76.196800
165.039062	-76.367401
166.015625	-77.332024
166.992188	-75.368614
167.968750	-77.764961
168.945312	-78.936218
169.921875	-78.250092
170.898438	-78.461609
171.875000	-79.246857
172.851562	-79.876396
173.828125	-79.388351
174.804688	-79.408165
175.781250	-78.846916
176.757812	-79.341286
177.734375	-77.082153
178.710938	-78.805267
179.687500	-79.305252
180.664062	-78.688644
181.640625	-80.320724
182.617188	-80.559769
183.593750	-81.284523
184.570312	-82.243462
185.546875	-80.462173
186.523438	-81.236885
187.500000	-80.925102
188.476562	-80.151436
189.453125	-81.084099
190.429688	-81.543961
191.406250	-81.027237
192.382812	-80.085289
193.359375	-83.169518
194.335938	-79.902763
195.312500	-78.459824
196.289062	-82.874962
197.265625	-80.718872
198.242188	-80.318741
199.218750	-80.108734
200.195312	-81.168182
201.171875	-80.606956
202.148438	-80.147202
203.125000	-80.339424
204.101562	-80.068710
205.078125	-79.905708
206.054688	-79.332756
207.031250	-78.380341
208.007812	-80.286751
208.984375	-80.224762
209.960938	-80.416718
210.937500	-79.375008
211.914062	-79.899696
212.890625	-79.179947
213.867188	-77.841377
214.843750	-79.698425
215.820312	-79.504639
216.796875	-79.029526
217.773438	-79.251488
218.750000	-80.693375
219.726562	-79.979454
220.703125	-80.828918
221.679688	-81.027748
222.656250	-81.132584
223.632812	-80.445274
224.609375	-79.782036
225.585938	-80.592216
226.562500	-80.298645
227.539062	-80.071915
228.515625	-79.374657
229.492188	-78.822769
230.468750	-78.974525
231.445312	-78.402275
232.421875	-80.459633
233.398438	-77.874031
234.375000	-77.815269
235.351562	-79.930466
236.328125	-79.698380
237.304688	-78.864647
238.281250	-80.008438
239.257812	-77.019310
240.234375	-77.616203
241.210938	-77.421364
242.187500	-77.283455
243.164062	-77.352356
244.140625	-77.404678
245.117188	-75.670807
246.093750	-75.517464
247.070312	-76.822380
248.046875	-77.481903
249.023438	-73.335411
250.000000	-73.952621
250.976562	-74.911308
251.953125	-74.077522
252.929688	-73.677460
253.906250	-73.080872
254.882812	-70.589180
255.859375	-71.921906
256.835938	-73.371872
257.812500	-71.483490
258.789062	-72.770180
259.765625	-72.379852
260.742188	-73.142616
261.718750	-71.227638
262.695312	-70.302963
263.671875	-69.926094
264.648438	-69.524071
265.625000	-67.620804
266.601562	-68.016029
267.578125	-67.696899
268.554688	-65.659821
269.531250	-68.331444
270.507812	-67.147125
271.484375	-68.921669
272.460938	-67.514023
273.437500	-67.854774
274.414062	-67.639091
275.390625	-67.739250
276.367188	-68.602730
277.343750	-68.775291
278.320312	-68.571793
279.296875	-69.258392
280.273438	-70.399414
281.250000	-70.657120
282.226562	-68.808884
283.203125	-69.219238
284.179688	-71.257103
285.156250	-70.703140
286.132812	-72.156105
287.109375	-71.839996
288.085938	-70.760941
289.062500	-71.866844
290.039062	-73.803764
291.015625	-75.381027
291.992188	-73.444221
292.968750	-73.309189
293.945312	-74.270409
294.921875	-76.093140
295.898438	-74.527420
296.875000	-74.617828
297.851562	-78.567383
298.828125	-76.800621
299.804688	-77.053574
300.781250	-77.235634
301.757812	-78.177536
302.734375	-75.469467
303.710938	-76.383369
304.687500	-76.489006
305.664062	-76.325424
306.640625	-76.956429
307.617188	-77.352493
308.593750	-77.841125
309.570312	-75.754349
310.546875	-77.762497
311.523438	-78.751625
312.500000	-76.731583
313.476562	-77.298203
314.453125	-77.988029
315.429688	-76.726189
316.406250	-79.974548
317.382812	-79.160637
318.359375	-77.974327
319.335938	-80.102921
320.312500	-80.197906
321.289062	-80.629845
322.265625	-78.098892
323.242188	-79.352562
324.218750	-78.092865
325.195312	-79.621437
326.171875	-79.621178
327.148438	-79.217964
328.125000	-79.743286
329.101562	-77.632462
330.078125	-78.855400
331.054688	-79.861427
332.031250	-78.608635
333.007812	-78.522980
333.984375	-78.777161
334.960938	-79.125572
335.937500	-79.536949
336.914062	-80.294144
337.890625	-80.127449
338.867188	-78.867218
339.843750	-80.390060
340.820312	-78.771957
341.796875	-79.649529
342.773438	-79.537140
343.750000	-78.247086
