Frequency (Hz)	Level (dB)
0.976562	-89.628586
1.953125	-89.710396
2.929688	-89.615524
3.906250	-89.300934
4.882812	-89.610825
5.859375	-89.613823
6.835938	-89.311249
7.812500	-89.170242
8.789062	-88.755356
9.765625	-89.238876
10.742188	-88.689613
11.718750	-86.761497
12.695312	-88.049995
13.671875	-88.197174
14.648438	-87.410973
15.625000	-88.522064
16.601562	-88.023445
17.578125	-87.465004
18.554688	-86.236115
19.531250	-86.268753
20.507812	-86.652290
21.484375	-85.846909
22.460938	-86.012154
23.437500	-84.899429
24.414062	-85.661858
25.390625	-85.850113
26.367188	-85.554344
27.343750	-85.043610
28.320312	-84.838120
29.296875	-84.430450
30.273438	-85.529457
31.250000	-85.234550
32.226562	-85.226982
33.203125	-85.566750
34.179688	-85.731552
35.156250	-85.094963
36.132812	-84.992676
37.109375	-85.882477
38.085938	-86.163834
39.062500	-84.705894
40.039062	-84.801010
41.015625	-84.024086
41.992188	-85.517235
42.968750	-84.829735
43.945312	-83.409004
44.921875	-84.636116
45.898438	-84.457756
46.875000	-84.891983
47.851562	-84.591583
48.828125	-83.752167
49.804688	-84.032623
50.781250	-84.056503
51.757812	-84.100334
52.734375	-83.897148
53.710938	-82.998344
54.687500	-82.997406
55.664062	-81.361191
56.640625	-80.380707
57.617188	-82.094559
58.593750	-81.130745
59.570312	-80.684586
60.546875	-81.260551
61.523438	-80.686821
62.500000	-79.710541
63.476562	-79.738396
64.453125	-82.617554
65.429688	-84.092056
66.406250	-84.167282
67.382812	-84.081871
68.359375	-83.595573
69.335938	-84.764099
70.312500	-82.854958
71.289062	-82.816505
72.265625	-83.115158
73.242188	-81.554031
74.218750	-80.765831
75.195312	-81.002129
76.171875	-83.284424
77.148438	-82.547699
78.125000	-83.252922
79.101562	-84.460297
80.078125	-82.566734
81.054688	-83.376686
82.031250	-82.552307
83.007812	-81.665192
83.984375	-81.051956
84.960938	-81.538109
85.937500	-80.308342
86.914062	-80.526207
87.890625	-82.066055
88.867188	-81.287750
89.843750	-81.852509
90.820312	-81.333282
91.796875	-81.350174
92.773438	-80.616974
93.750000	-80.306534
94.726562	-80.293312
95.703125	-81.158340
96.679688	-80.643784
97.656250	-81.067940
98.632812	-80.237900
99.609375	-80.749153
100.585938	-80.318916
101.562500	-80.603363
102.539062	-80.309097
103.515625	-81.430229
104.492188	-79.876060
105.468750	-78.473457
106.445312	-78.667755
107.421875	-78.822395
108.398438	-77.951637
109.375000	-77.172905
110.351562	-75.661903
111.328125	-74.505081
112.304688	-74.976746
113.281250	-74.615692
114.257812	-73.087883
115.234375	-73.604996
116.210938	-73.063377
117.187500	-71.509315
118.164062	-67.364189
119.140625	-67.412041
120.117188	-57.552399
121.093750	-60.540588
122.070312	-69.766632
123.046875	-70.076874
124.023438	-71.074646
125.000000	-70.703308
125.976562	-70.252899
126.953125	-70.959091
127.929688	-70.532951
128.906250	-70.009712
129.882812	-69.758438
130.859375	-69.072937
131.835938	-69.961540
132.812500	-69.617760
133.789062	-69.791077
134.765625	-66.986641
135.742188	-67.032478
136.718750	-67.220879
137.695312	-68.192055
138.671875	-66.115967
139.648438	-67.558342
140.625000	-68.613434
141.601562	-67.657845
142.578125	-66.726166
143.554688	-65.497200
144.531250	-67.737129
145.507812	-66.838058
146.484375	-68.530228
147.460938	-68.508705
148.437500	-69.784203
149.414062	-69.654182
150.390625	-70.633186
151.367188	-69.698463
152.343750	-69.981949
153.320312	-69.628479
154.296875	-69.375694
155.273438	-71.301041
156.250000	-71.982117
157.226562	-69.370445
158.203125	-71.017967
159.179688	-70.808403
160.156250	-71.526031
161.132812	-72.427155
162.109375	-73.733635
163.085938	-72.485443
164.062500	-72.663551
165.039062	-73.105034
166.015625	-73.882599
166.992188	-74.037727
167.968750	-74.373505
168.945312	-73.884087
169.921875	-73.793167
170.898438	-74.721169
171.875000	-74.514191
172.851562	-76.006653
173.828125	-75.057419
174.804688	-75.025520
175.781250	-75.743797
176.757812	-75.816040
177.734375	-75.527313
178.710938	-75.005333
179.687500	-75.770004
180.664062	-76.173401
181.640625	-76.059349
182.617188	-75.877815
183.593750	-75.682343
184.570312	-76.818535
185.546875	-76.926788
186.523438	-76.472626
187.500000	-77.817093
188.476562	-77.185356
189.453125	-77.896843
190.429688	-76.948586
191.406250	-77.268486
192.382812	-78.378006
193.359375	-77.307999
194.335938	-76.924408
195.312500	-77.363930
196.289062	-77.822182
197.265625	-77.881805
198.242188	-77.138008
199.218750	-77.194496
200.195312	-77.482735
201.171875	-78.774864
202.148438	-77.959366
203.125000	-77.102089
204.101562	-77.375908
205.078125	-77.307327
206.054688	-77.899544
207.031250	-77.214989
208.007812	-77.717545
208.984375	-77.785576
209.960938	-77.654282
210.937500	-77.906433
211.914062	-77.721306
212.890625	-77.024734
213.867188	-78.486031
214.843750	-76.018227
215.820312	-76.564857
216.796875	-77.757370
217.773438	-77.621635
218.750000	-76.937836
219.726562	-77.391640
220.703125	-77.083458
221.679688	-75.817108
222.656250	-77.176178
223.632812	-77.307854
224.609375	-77.954895
225.585938	-77.671059
226.562500	-77.381538
227.539062	-77.555603
228.515625	-76.444603
229.492188	-76.238808
230.468750	-75.432747
231.445312	-76.554115
232.421875	-78.453171
233.398438	-77.055748
234.375000	-74.827400
235.351562	-75.237358
236.328125	-73.736252
237.304688	-75.201347
238.281250	-74.058601
239.257812	-74.993942
240.234375	-75.881226
241.210938	-74.115967
242.187500	-74.758247
243.164062	-73.582863
244.140625	-74.109375
245.117188	-74.086288
246.093750	-74.572495
247.070312	-73.867073
248.046875	-73.058990
249.023438	-73.077148
250.000000	-72.391785
250.976562	-73.171242
251.953125	-72.339828
252.929688	-72.202232
253.906250	-73.457603
254.882812	-71.799149
255.859375	-70.848137
256.835938	-70.879089
257.812500	-70.666908
258.789062	-70.038406
259.765625	-69.216888
260.742188	-69.502785
261.718750	-69.307701
262.695312	-68.091316
263.671875	-68.738480
264.648438	-67.854424
265.625000	-68.205383
266.601562	-65.569283
267.578125	-67.291000
268.554688	-66.624886
269.531250	-66.143517
270.507812	-64.269279
271.484375	-65.008591
272.460938	-65.219147
273.437500	-64.556122
274.414062	-63.861301
275.390625	-64.476868
276.367188	-64.173706
277.343750	-63.716206
278.320312	-65.001266
279.296875	-63.961727
280.273438	-64.184456
281.250000	-65.751389
282.226562	-63.661732
283.203125	-64.707603
284.179688	-65.670998
285.156250	-66.897377
286.132812	-67.320724
287.109375	-68.003242
288.085938	-66.808075
289.062500	-66.481110
290.039062	-68.283012
291.015625	-69.997337
291.992188	-70.098572
292.968750	-70.213341
293.945312	-70.062469
294.921875	-70.558243
295.898438	-71.427139
296.875000	-71.034599
297.851562	-71.103172
298.828125	-70.757500
299.804688	-71.531227
300.781250	-72.433022
301.757812	-72.050186
302.734375	-71.189415
303.710938	-71.719505
304.687500	-72.624702
305.664062	-72.820290
306.640625	-73.322701
307.617188	-73.612206
308.593750	-72.832893
309.570312	-73.983917
310.546875	-73.406097
311.523438	-73.521194
312.500000	-73.058594
313.476562	-74.020325
314.453125	-74.440430
315.429688	-73.569656
316.406250	-73.232376
317.382812	-74.309135
318.359375	-73.725540
319.335938	-74.321457
320.312500	-74.808769
321.289062	-74.904762
322.265625	-74.734886
323.242188	-74.681595
324.218750	-75.485229
325.195312	-75.371002
326.171875	-75.475731
327.148438	-76.046448
328.125000	-74.149353
329.101562	-76.751770
330.078125	-75.829239
331.054688	-76.477234
332.031250	-74.741959
333.007812	-75.698624
333.984375	-75.108635
334.960938	-76.417953
335.937500	-76.325760
336.914062	-77.006226
337.890625	-74.759743
338.867188	-75.217125
339.843750	-76.134651
340.820312	-75.804451
341.796875	-76.501076
342.773438	-76.062790
343.750000	-74.950081
344.726562	-74.920120
345.703125	-75.450775
346.679688	-75.888420
347.656250	-74.729630
348.632812	-76.056633
349.609375	-75.551910
350.585938	-74.822227
351.562500	-74.609535
352.539062	-76.592667
353.515625	-75.865707
354.492188	-76.446930
355.468750	-75.376350
356.445312	-75.927971
357.421875	-75.019180
358.398438	-75.091667
359.375000	-75.728821
360.351562	-75.901924
361.328125	-75.517792
362.304688	-75.408104
363.281250	-75.030167
364.257812	-74.301628
365.234375	-75.121742
366.210938	-75.225090
367.187500	-74.420891
368.164062	-74.398254
369.140625	-75.042809
370.117188	-74.441193
371.093750	-73.928322
372.070312	-73.294830
373.046875	-74.101242
374.023438	-73.450943
375.000000	-74.267403
375.976562	-72.844460
376.953125	-74.922264
377.929688	-73.455185
378.906250	-73.445686
379.882812	-72.406898
380.859375	-73.700089
381.835938	-73.718231
382.812500	-74.174278
383.789062	-72.180717
384.765625	-72.054779
385.742188	-72.961014
386.718750	-72.471390
387.695312	-70.840065
388.671875	-71.902603
389.648438	-71.816307
390.625000	-70.384468
391.601562	-71.600342
392.578125	-70.468727
393.554688	-69.150818
394.531250	-69.803467
395.507812	-68.830055
396.484375	-68.502747
397.460938	-68.691109
398.437500	-67.692749
399.414062	-67.489815
400.390625	-67.470818
401.367188	-67.181885
402.343750	-66.997353
403.320312	-66.232994
404.296875	-64.645088
405.273438	-65.321724
406.250000	-65.246094
407.226562	-63.929600
408.203125	-63.363365
409.179688	-63.486980
410.156250	-63.991482
411.132812	-62.548687
412.109375	-62.285984
413.085938	-62.738487
414.062500	-61.554619
415.039062	-63.407486
416.015625	-62.348282
416.992188	-63.655022
417.968750	-63.010109
418.945312	-63.677650
419.921875	-65.306732
420.898438	-64.297432
421.875000	-64.579506
422.851562	-64.409065
423.828125	-65.751099
424.804688	-65.618431
425.781250	-65.105904
426.757812	-67.336807
427.734375	-67.528603
428.710938	-68.062172
429.687500	-68.013725
430.664062	-68.961929
431.640625	-67.991722
432.617188	-69.215454
433.593750	-68.641327
434.570312	-68.688797
435.546875	-70.597298
436.523438	-70.354340
437.500000	-69.016083
438.476562	-70.993134
439.453125	-71.046890
440.429688	-72.301888
441.406250	-70.615311
442.382812	-71.100456
443.359375	-71.980347
444.335938	-72.299469
445.312500	-71.510315
446.289062	-72.065575
447.265625	-72.183678
448.242188	-71.864494
449.218750	-73.100296
450.195312	-72.740074
451.171875	-72.988091
452.148438	-73.031876
453.125000	-73.360107
454.101562	-72.509651
455.078125	-73.516548
456.054688	-72.983109
457.031250	-73.979736
458.007812	-74.107773
458.984375	-74.548149
459.960938	-73.766205
460.937500	-73.851852
461.914062	-73.649612
462.890625	-73.957527
463.867188	-73.988815
464.843750	-74.769424
465.820312	-73.996719
466.796875	-73.919388
467.773438	-74.772232
468.750000	-74.810661
469.726562	-74.902573
470.703125	-74.705696
471.679688	-74.735596
472.656250	-74.583679
473.632812	-76.771370
474.609375	-74.307159
475.585938	-75.407280
476.562500	-74.931404
477.539062	-75.147339
478.515625	-75.954826
479.492188	-75.180397
480.468750	-75.260445
481.445312	-74.962524
482.421875	-74.527550
483.398438	-73.625420
484.375000	-73.842567
485.351562	-76.421387
486.328125	-75.640732
487.304688	-75.622047
488.281250	-74.480888
489.257812	-74.634491
490.234375	-75.683609
491.210938	-73.936432
492.187500	-74.148438
493.164062	-75.413216
494.140625	-74.326256
495.117188	-73.588768
496.093750	-73.961693
497.070312	-75.261497
498.046875	-74.724670
499.023438	-74.281990
500.000000	-73.594467
500.976562	-72.380096
501.953125	-74.929932
502.929688	-75.249580
503.906250	-73.380013
504.882812	-73.534508
505.859375	-74.345398
506.835938	-72.679260
507.812500	-72.360725
508.789062	-73.753265
509.765625	-72.545212
510.742188	-71.544518
511.718750	-73.822433
512.695312	-74.178398
513.671875	-73.411186
514.648438	-73.192612
