Frequency (Hz)	Level (dB)
0.976562	-98.795341
1.953125	-98.477654
2.929688	-98.196564
3.906250	-96.278603
4.882812	-96.704369
5.859375	-94.667274
6.835938	-92.762932
7.812500	-95.372101
8.789062	-94.027122
9.765625	-92.592583
10.742188	-88.214905
11.718750	-86.419769
12.695312	-87.913834
13.671875	-88.682198
14.648438	-86.860916
15.625000	-86.094940
16.601562	-87.190865
17.578125	-88.270409
18.554688	-85.141708
19.531250	-86.502075
20.507812	-87.528809
21.484375	-84.641518
22.460938	-83.550438
23.437500	-83.903946
24.414062	-85.426018
25.390625	-84.195854
26.367188	-83.626038
27.343750	-84.137482
28.320312	-83.533737
29.296875	-83.254036
30.273438	-84.735558
31.250000	-83.629112
32.226562	-84.833130
33.203125	-84.293068
34.179688	-84.549416
35.156250	-84.526062
36.132812	-82.587059
37.109375	-83.527420
38.085938	-84.466476
39.062500	-85.018074
40.039062	-84.165421
41.015625	-82.811577
41.992188	-84.349365
42.968750	-85.100456
43.945312	-83.719521
44.921875	-85.306526
45.898438	-85.177948
46.875000	-84.125938
47.851562	-82.667320
48.828125	-83.430107
49.804688	-82.575630
50.781250	-81.342957
51.757812	-81.300385
52.734375	-82.865540
53.710938	-80.517166
54.687500	-81.143150
55.664062	-81.434288
56.640625	-79.363968
57.617188	-79.492050
58.593750	-78.973160
59.570312	-80.038368
60.546875	-79.502724
61.523438	-78.780899
62.500000	-77.486740
63.476562	-80.066132
64.453125	-82.125336
65.429688	-83.202232
66.406250	-84.015495
67.382812	-85.788277
68.359375	-84.915771
69.335938	-83.460381
70.312500	-81.688454
71.289062	-82.193542
72.265625	-82.855644
73.242188	-81.381187
74.218750	-83.088249
75.195312	-82.661720
76.171875	-81.829613
77.148438	-83.202835
78.125000	-84.457573
79.101562	-85.203964
80.078125	-83.564575
81.054688	-84.856964
82.031250	-85.423172
83.007812	-83.799507
83.984375	-84.043465
84.960938	-82.466103
85.937500	-83.084732
86.914062	-82.998024
87.890625	-83.106339
88.867188	-83.511772
89.843750	-83.403877
90.820312	-83.014908
91.796875	-84.698296
92.773438	-85.534096
93.750000	-84.646599
94.726562	-85.076469
95.703125	-83.913574
96.679688	-84.984047
97.656250	-87.780701
98.632812	-85.011185
99.609375	-85.935165
100.585938	-86.208260
101.562500	-85.239136
102.539062	-85.204956
103.515625	-85.636726
104.492188	-85.184006
105.468750	-83.789192
106.445312	-85.508621
107.421875	-85.754051
108.398438	-85.546120
109.375000	-85.458199
110.351562	-84.973892
111.328125	-83.502998
112.304688	-84.530258
113.281250	-84.065063
114.257812	-81.635902
115.234375	-83.079582
116.210938	-84.241219
117.187500	-83.024811
118.164062	-82.471191
119.140625	-80.232376
120.117188	-73.461197
121.093750	-75.938301
122.070312	-83.740768
123.046875	-84.372452
124.023438	-84.933304
125.000000	-82.866264
125.976562	-83.531731
126.953125	-84.118454
127.929688	-85.466888
128.906250	-83.070816
129.882812	-82.849670
130.859375	-84.452126
131.835938	-85.714447
132.812500	-83.708427
133.789062	-84.610832
134.765625	-84.073082
135.742188	-83.775009
136.718750	-84.735855
137.695312	-83.450302
138.671875	-84.037895
139.648438	-84.491684
140.625000	-83.919685
141.601562	-83.714714
142.578125	-82.573570
143.554688	-80.919563
144.531250	-83.662285
145.507812	-83.653206
146.484375	-83.627090
147.460938	-83.190590
148.437500	-83.480545
149.414062	-83.211121
150.390625	-84.319183
151.367188	-81.942291
152.343750	-83.773170
153.320312	-83.336327
154.296875	-83.607506
155.273438	-83.375397
156.250000	-83.653427
157.226562	-82.131363
158.203125	-80.623901
159.179688	-81.987389
160.156250	-82.860710
161.132812	-82.757072
162.109375	-83.837265
163.085938	-82.878014
164.062500	-81.950890
165.039062	-83.494957
166.015625	-83.040131
166.992188	-82.541718
167.968750	-81.744736
168.945312	-82.322540
169.921875	-81.106453
170.898438	-82.303947
171.875000	-81.206818
172.851562	-82.920128
173.828125	-81.485001
174.804688	-81.616608
175.781250	-83.066933
176.757812	-82.578766
177.734375	-81.897217
178.710938	-80.885559
179.687500	-82.499039
180.664062	-81.595444
181.640625	-81.844078
182.617188	-80.789566
183.593750	-81.286644
184.570312	-82.048454
185.546875	-81.231735
186.523438	-81.401184
187.500000	-82.690369
188.476562	-81.826630
189.453125	-82.431923
