Frequency (Hz)	Level (dB)
0.976562	-95.626671
1.953125	-95.533249
2.929688	-95.057610
3.906250	-93.926155
4.882812	-93.965591
5.859375	-93.118950
6.835938	-92.720177
7.812500	-94.032478
8.789062	-93.609726
9.765625	-90.396957
10.742188	-89.782166
11.718750	-87.748573
12.695312	-88.071815
13.671875	-89.122490
14.648438	-87.520996
15.625000	-86.493530
16.601562	-86.637398
17.578125	-87.626900
18.554688	-85.834702
19.531250	-85.937180
20.507812	-87.404350
21.484375	-84.884148
22.460938	-84.857162
23.437500	-84.437508
24.414062	-85.385445
25.390625	-84.724655
26.367188	-82.307060
27.343750	-82.396484
28.320312	-83.319366
29.296875	-82.188873
30.273438	-84.465981
31.250000	-84.128197
32.226562	-83.910919
33.203125	-82.651970
34.179688	-84.332977
35.156250	-83.758614
36.132812	-83.547607
37.109375	-83.469322
38.085938	-83.727615
39.062500	-84.335762
40.039062	-84.377548
41.015625	-83.227211
41.992188	-84.398933
42.968750	-84.397125
43.945312	-84.172852
44.921875	-84.407936
45.898438	-84.273750
46.875000	-83.953758
47.851562	-83.348740
48.828125	-83.138008
49.804688	-81.758865
50.781250	-81.799751
51.757812	-81.803726
52.734375	-81.236794
53.710938	-80.967117
54.687500	-80.137558
55.664062	-80.739250
56.640625	-78.532570
57.617188	-78.761047
58.593750	-77.421112
59.570312	-77.564896
60.546875	-79.563484
61.523438	-80.594749
62.500000	-78.700668
63.476562	-78.302124
64.453125	-81.674454
65.429688	-82.849342
66.406250	-82.354584
67.382812	-83.327896
68.359375	-83.884430
69.335938	-82.517693
70.312500	-81.554886
71.289062	-81.896729
72.265625	-82.480133
73.242188	-82.432365
74.218750	-81.396904
75.195312	-81.515038
76.171875	-81.328621
77.148438	-81.770020
78.125000	-81.795540
79.101562	-84.191681
80.078125	-83.165306
81.054688	-85.166412
82.031250	-84.512428
83.007812	-84.304970
83.984375	-82.471176
84.960938	-81.842957
85.937500	-81.862190
86.914062	-82.589355
87.890625	-82.707298
88.867188	-84.564331
89.843750	-83.679993
90.820312	-82.721581
91.796875	-81.937317
92.773438	-83.568542
93.750000	-84.008408
94.726562	-83.859085
95.703125	-83.479919
96.679688	-83.780800
97.656250	-85.135864
98.632812	-83.970863
99.609375	-84.872826
100.585938	-84.546654
101.562500	-84.152046
102.539062	-83.049614
103.515625	-84.404137
104.492188	-84.439201
105.468750	-84.149429
106.445312	-84.790558
107.421875	-85.040535
108.398438	-83.321648
109.375000	-82.680069
110.351562	-83.021461
111.328125	-81.741531
112.304688	-82.518044
113.281250	-82.499779
114.257812	-80.500832
115.234375	-82.099312
116.210938	-82.606758
117.187500	-81.890976
118.164062	-77.119850
119.140625	-77.482193
120.117188	-70.065514
121.093750	-72.399162
122.070312	-80.340973
123.046875	-81.091209
124.023438	-81.494568
125.000000	-81.046494
125.976562	-81.571098
126.953125	-83.149559
127.929688	-83.062592
128.906250	-81.386543
129.882812	-80.483627
130.859375	-81.337059
131.835938	-83.524246
132.812500	-81.998215
133.789062	-82.194237
134.765625	-80.323212
135.742188	-81.010101
136.718750	-81.265739
137.695312	-81.865044
138.671875	-81.211838
139.648438	-80.764328
140.625000	-80.746574
141.601562	-79.916451
142.578125	-80.959213
143.554688	-79.579422
144.531250	-81.048050
145.507812	-79.642387
146.484375	-79.745476
147.460938	-80.734558
148.437500	-79.247818
149.414062	-79.885170
150.390625	-81.042542
151.367188	-79.074013
152.343750	-79.352287
153.320312	-79.916328
154.296875	-77.956924
155.273438	-80.154701
156.250000	-79.498680
157.226562	-77.309074
158.203125	-77.191757
159.179688	-78.288315
160.156250	-78.647415
161.132812	-78.603134
162.109375	-79.211784
163.085938	-78.631981
164.062500	-77.535255
165.039062	-77.454742
166.015625	-77.332680
166.992188	-77.826332
167.968750	-77.881760
168.945312	-77.751328
169.921875	-76.586502
170.898438	-76.775322
171.875000	-76.148842
172.851562	-78.250572
173.828125	-76.739906
174.804688	-76.376312
175.781250	-76.955856
176.757812	-76.075073
177.734375	-76.172325
178.710938	-74.918480
179.687500	-76.405647
180.664062	-75.758698
181.640625	-76.511894
182.617188	-75.504051
183.593750	-74.704453
184.570312	-76.066750
185.546875	-75.564537
186.523438	-75.298851
187.500000	-75.510887
188.476562	-75.092194
189.453125	-75.556175
190.429688	-74.675797
191.406250	-74.835205
192.382812	-75.615059
193.359375	-74.045715
194.335938	-73.362000
195.312500	-73.105003
196.289062	-73.034164
197.265625	-73.326653
198.242188	-72.325645
199.218750	-71.605507
200.195312	-71.801422
201.171875	-73.411827
202.148438	-71.308594
203.125000	-71.251770
204.101562	-71.020935
205.078125	-70.327400
206.054688	-70.100441
207.031250	-69.772568
208.007812	-69.702614
208.984375	-69.967964
209.960938	-69.067688
210.937500	-68.975037
211.914062	-69.358650
212.890625	-67.489609
213.867188	-68.576591
214.843750	-66.618492
215.820312	-66.372406
