Frequency (Hz)	Level (dB)
0.976562	-99.433815
1.953125	-99.244576
2.929688	-99.214897
3.906250	-97.705154
4.882812	-96.916153
5.859375	-95.088371
6.835938	-94.152748
7.812500	-96.114609
8.789062	-95.562340
9.765625	-92.975998
10.742188	-90.769913
11.718750	-88.849083
12.695312	-88.792999
13.671875	-88.647308
14.648438	-87.510857
15.625000	-88.800926
16.601562	-88.647606
17.578125	-88.384315
18.554688	-85.789314
19.531250	-86.201355
20.507812	-87.896362
21.484375	-85.558907
22.460938	-85.568008
23.437500	-83.174583
24.414062	-85.198524
25.390625	-84.950287
26.367188	-84.020119
27.343750	-83.759933
28.320312	-84.157593
29.296875	-83.862640
30.273438	-85.569931
31.250000	-84.799744
32.226562	-84.494263
33.203125	-85.186295
34.179688	-85.922775
35.156250	-86.478409
36.132812	-85.585968
37.109375	-84.442589
38.085938	-85.939880
39.062500	-85.390045
40.039062	-84.830154
41.015625	-83.651306
41.992188	-84.135025
42.968750	-84.477577
43.945312	-83.786972
44.921875	-85.378891
45.898438	-84.925087
46.875000	-84.578224
47.851562	-83.996178
48.828125	-83.212616
49.804688	-82.946281
50.781250	-83.469185
51.757812	-83.240448
52.734375	-83.074287
53.710938	-82.036270
54.687500	-80.164070
55.664062	-80.782486
56.640625	-81.050957
57.617188	-80.518425
58.593750	-79.804405
59.570312	-80.492836
60.546875	-80.016243
61.523438	-79.872261
62.500000	-79.056381
63.476562	-79.726608
64.453125	-81.551941
65.429688	-84.155479
66.406250	-84.404099
67.382812	-85.139725
68.359375	-83.704987
69.335938	-83.488029
70.312500	-83.182129
71.289062	-81.766747
72.265625	-83.200935
73.242188	-82.330864
74.218750	-82.606216
75.195312	-81.449615
76.171875	-83.158432
77.148438	-85.238426
78.125000	-84.068352
79.101562	-85.643196
80.078125	-84.500084
81.054688	-85.980301
82.031250	-87.697197
83.007812	-85.411636
83.984375	-85.497353
84.960938	-83.914398
85.937500	-83.857292
86.914062	-83.372581
87.890625	-84.209946
88.867188	-84.623947
89.843750	-84.496452
90.820312	-85.190712
91.796875	-85.034317
92.773438	-85.975662
93.750000	-85.843582
94.726562	-85.462837
95.703125	-86.693260
96.679688	-86.941368
97.656250	-87.535614
98.632812	-86.844376
99.609375	-86.038185
100.585938	-86.696754
101.562500	-86.694427
102.539062	-85.988953
103.515625	-84.906013
104.492188	-86.730698
105.468750	-85.368866
106.445312	-87.350479
107.421875	-86.847931
108.398438	-86.060204
109.375000	-85.664307
110.351562	-85.956184
111.328125	-86.052948
112.304688	-85.278770
113.281250	-85.269745
114.257812	-83.984634
115.234375	-84.412529
116.210938	-85.191772
117.187500	-83.849579
118.164062	-83.168114
119.140625	-82.141266
120.117188	-78.163956
121.093750	-78.744431
122.070312	-85.672058
123.046875	-84.254082
124.023438	-85.287170
125.000000	-84.602921
125.976562	-86.051239
126.953125	-85.683548
127.929688	-86.169685
128.906250	-84.899185
129.882812	-84.745308
130.859375	-85.514229
131.835938	-86.160782
132.812500	-85.833641
133.789062	-85.857124
